System Variable,Information Source
Universal Well ID (UWI),UniversalWellIDinOthertab ofGlobalSettings
User Name,UserNameentered when logging onto GEO.
Plot Mode (MD/TVD/TWT),PrimaryIndexdefined inDepthtab
Plot Description,"PlotDescriptioninOthertab ofGlobalSettings(onEdittab, selectGlobalSettings)"
Layout Name,Layout name  from layout drop list
Document File Name,Filenamegiven to ODF.
Plot Scale,PlotScaledefined onHometab
Plot Index Start Value,Fromdepth inDepthtab
Plot Index End Value,Todepth inDepthtab
Plot Index Units,Index Units(FeetorMeters)inDepthtab
Document Save Date/Time,The date (and/or) time when the ODF file is saved.
Print Date/Time,The date (and/or) time when the ODF file is printed.
